39, State-gov, Bachelors
46, Private, Assoc-voc
69, ?, HS-grad
39, Private, HS-grad
48, Private, HS-grad
46, Private, HS-grad
42, Private, Bachelors
39, Self-emp-not-inc, HS-grad
50, Federal-gov, Masters
24, Private, Bachelors
30, Private, Assoc-voc
39, Self-emp-inc, Bachelors
29, Self-emp-not-inc, HS-grad
23, Private, 11th
21, ?, Assoc-voc
32, Private, 10th
69, Self-emp-inc, Bachelors
55, Private, HS-grad
41, Private, Some-college
44, Self-emp-inc, Bachelors
18, Private, 11th
74, Self-emp-not-inc, Bachelors
40, Private, Doctorate
27, Private, HS-grad
75, ?, 9th
55, Private, HS-grad
52, Self-emp-not-inc, 7th-8th
54, Private, Some-college
36, Private, HS-grad
76, ?, Some-college
26, Private, HS-grad
18, Private, 11th
38, Private, HS-grad
50, Private, Bachelors
19, ?, Some-college
32, Private, Some-college
57, Private, Bachelors
20, Private, HS-grad
27, Private, Some-college
31, Self-emp-not-inc, Bachelors
60, Private, 5th-6th
52, Private, HS-grad
61, Private, 7th-8th
57, Self-emp-not-inc, HS-grad
19, ?, Some-college
59, Self-emp-not-inc, Prof-school
34, Self-emp-not-inc, HS-grad
31, Private, Assoc-acdm
42, Private, HS-grad
70, Private, Some-college
47, Private, Bachelors
47, ?, HS-grad
29, Private, Some-college
27, Private, 11th
25, Private, 12th
51, Private, Bachelors
28, Private, HS-grad
35, Private, Bachelors
36, Self-emp-not-inc, Some-college
54, ?, Masters
46, Private, Assoc-voc
52, Private, Assoc-voc
65, Private, 7th-8th
43, Private, Assoc-voc
41, Local-gov, HS-grad
34, Private, Bachelors
47, Self-emp-not-inc, Bachelors
49, Federal-gov, Masters
21, Private, Some-college
20, Private, Some-college
18, Local-gov, 12th
27, Private, Some-college
34, Self-emp-not-inc, HS-grad
38, Private, Some-college
24, Private, HS-grad
34, Private, Some-college
47, Private, HS-grad
27, Federal-gov, HS-grad
63, Private, Assoc-voc
34, Private, Some-college
25, Private, Some-college
54, Private, HS-grad
19, ?, Some-college
35, Private, HS-grad
24, Private, Some-college
26, Private, Some-college
59, Local-gov, Assoc-voc
43, Private, Doctorate
20, Private, Some-college
41, Private, HS-grad
51, Private, Some-college
27, Private, HS-grad
36, Private, HS-grad
25, Private, Some-college
55, Private, Bachelors
22, Local-gov, Some-college
58, State-gov, Doctorate
43, Private, Some-college
39, Private, Assoc-voc
40, Private, 9th
46, Private, HS-grad
54, Federal-gov, HS-grad
19, Private, Some-college
24, Private, HS-grad
53, ?, HS-grad
24, State-gov, Masters
29, Self-emp-not-inc, HS-grad
56, Self-emp-inc, Some-college
54, ?, HS-grad
21, ?, Some-college
34, Private, 9th
56, Private, 11th
34, Private, Bachelors
19, Private, 10th
32, Self-emp-inc, HS-grad
48, Private, HS-grad
67, ?, Masters
47, Private, HS-grad
52, Private, HS-grad
40, Private, 1st-4th
28, Private, 10th
41, Private, Bachelors
57, Private, 1st-4th
51, Private, HS-grad
26, ?, 11th
36, Private, Bachelors
33, Private, Some-college
46, Private, Bachelors
50, Private, HS-grad
33, Private, Some-college
77, Self-emp-not-inc, HS-grad
39, Private, Masters
67, ?, HS-grad
35, Private, Assoc-acdm
23, Private, 10th
37, Private, Assoc-voc
41, Private, HS-grad
60, Private, Assoc-acdm
32, Private, Bachelors
56, Federal-gov, HS-grad
45, State-gov, Assoc-voc
24, Private, HS-grad
18, Private, 10th
31, Private, HS-grad
21, ?, Some-college
45, Private, Bachelors
23, Private, Some-college
45, State-gov, Some-college
18, Private, 11th
25, Private, HS-grad
31, State-gov, HS-grad
19, Private, HS-grad
41, Private, Bachelors
74, Private, Prof-school
27, Private, 5th-6th
23, Private, HS-grad
31, Private, Assoc-voc
40, Self-emp-inc, HS-grad
41, Federal-gov, HS-grad
25, Private, Masters
42, Private, HS-grad
24, Private, Bachelors
42, Private, Assoc-acdm
45, Self-emp-not-inc, 10th
52, Federal-gov, HS-grad
34, Private, Assoc-voc
32, Private, HS-grad
54, Private, HS-grad
42, Federal-gov, 11th
32, Private, Bachelors
40, ?, Some-college
55, Self-emp-inc, Bachelors
66, ?, 11th
52, State-gov, Masters
21, State-gov, Some-college
33, Private, Bachelors
52, ?, Assoc-voc
28, Private, 5th-6th
27, Self-emp-not-inc, 11th
42, Local-gov, Bachelors
27, Self-emp-inc, Some-college
47, Private, Assoc-voc
19, Private, HS-grad
46, Private, Some-college
55, Self-emp-not-inc, HS-grad
50, Private, 7th-8th
32, Private, Some-college
28, Private, HS-grad
23, Private, HS-grad
43, Private, Masters
34, Private, Bachelors
19, Private, Some-college
37, Private, Some-college
27, Private, Bachelors
18, Private, HS-grad
31, Private, Some-college
49, Private, HS-grad
26, Federal-gov, Prof-school
48, Private, HS-grad
39, Private, HS-grad
41, Private, HS-grad
48, State-gov, Assoc-voc
40, Private, Bachelors
70, Private, Bachelors
20, Private, HS-grad
38, Private, 5th-6th
37, Self-emp-not-inc, Some-college
49, Private, Some-college
51, Private, HS-grad
43, Private, 1st-4th
38, Private, Prof-school
18, ?, 11th
23, Private, 7th-8th
34, Private, HS-grad
62, ?, Some-college
33, Private, Some-college
31, Private, Some-college
64, Private, Some-college
26, Local-gov, Bachelors
55, Private, Some-college
61, Local-gov, Bachelors
37, Private, HS-grad
78, Local-gov, Bachelors
27, Federal-gov, Some-college
49, Private, HS-grad
55, State-gov, Masters
42, Private, Bachelors
22, ?, HS-grad
61, Private, 9th
64, Self-emp-not-inc, Bachelors
46, Local-gov, HS-grad
24, Private, Bachelors
27, Private, Some-college
47, Private, HS-grad
18, Private, Some-college
48, Private, HS-grad
50, Self-emp-not-inc, HS-grad
40, State-gov, Masters
56, Self-emp-not-inc, 10th
34, Private, HS-grad
56, Federal-gov, Bachelors
18, Private, 11th
21, Private, Some-college
40, Private, HS-grad
27, Local-gov, HS-grad
52, Self-emp-not-inc, Prof-school
46, Private, HS-grad
23, Private, HS-grad
50, Private, Some-college
19, Private, Some-college
20, Private, HS-grad
39, Private, Some-college
24, Private, 11th
72, Private, Assoc-voc
42, State-gov, Masters
42, Private, Bachelors
51, Private, Bachelors
39, Private, HS-grad
40, Local-gov, Some-college
34, Private, Some-college
19, Private, 11th
26, Private, HS-grad
45, Local-gov, Bachelors
28, Private, Masters
30, Federal-gov, Bachelors
32, Private, HS-grad
19, Private, Some-college
21, Private, HS-grad
54, Private, HS-grad
62, Private, Prof-school
25, Private, Some-college
49, Self-emp-inc, Some-college
32, Private, HS-grad
26, Private, Some-college
37, Local-gov, HS-grad
58, Private, HS-grad
37, Private, Some-college
41, Private, HS-grad
38, Private, Bachelors
47, State-gov, HS-grad
42, Private, HS-grad
30, State-gov, HS-grad
43, Private, Some-college
34, Private, HS-grad
57, Private, Some-college
46, Private, 11th
32, Private, Some-college
20, Private, 9th
47, Private, Assoc-voc
55, ?, HS-grad
53, Self-emp-not-inc, 7th-8th
43, Private, Bachelors
80, Self-emp-not-inc, 7th-8th
24, Private, Some-college
43, Local-gov, Masters
22, Private, HS-grad
40, Private, Some-college
48, Private, HS-grad
56, ?, HS-grad
34, ?, 11th
51, Private, HS-grad
24, Federal-gov, HS-grad
19, Private, HS-grad
34, Private, Some-college
24, Private, HS-grad
41, Private, Bachelors
24, Private, HS-grad
22, Local-gov, Some-college
32, Federal-gov, Some-college
41, Private, Bachelors
20, Private, Some-college
31, Private, HS-grad
55, Private, Bachelors
49, State-gov, Doctorate
26, Private, Bachelors
27, Self-emp-not-inc, HS-grad
35, Private, HS-grad
40, Private, HS-grad
59, Private, Some-college
61, Private, Some-college
31, Private, HS-grad
43, Federal-gov, Masters
61, Private, 5th-6th
54, Private, Assoc-acdm
30, Private, Some-college
20, Private, Some-college
27, State-gov, Masters
44, Self-emp-inc, Some-college
64, Private, Some-college
55, Private, HS-grad
34, Private, HS-grad
61, Private, HS-grad
28, Private, Bachelors
34, Private, HS-grad
47, Self-emp-inc, Prof-school
26, Private, Bachelors
35, Private, 11th
36, Private, Bachelors
47, Private, Bachelors
17, Private, 11th
35, Private, Some-college
33, Private, Masters
25, Private, Assoc-acdm
18, Private, 10th
47, State-gov, Masters
44, Private, HS-grad
41, Private, HS-grad
30, Private, Bachelors
53, Self-emp-not-inc, Some-college
53, Private, HS-grad
40, Private, HS-grad
24, Private, Some-college
27, Private, Bachelors
50, Private, 5th-6th
36, Private, 11th
41, Private, 1st-4th
41, Private, Masters
31, Private, HS-grad
32, Federal-gov, Bachelors
22, Private, Some-college
22, Private, 10th
18, Local-gov, 12th
39, Private, Bachelors
38, Private, HS-grad
35, State-gov, HS-grad
23, Private, Some-college
54, Self-emp-not-inc, Bachelors
36, Private, Masters
63, Local-gov, HS-grad
39, Private, Some-college
57, Self-emp-not-inc, Some-college
58, Self-emp-inc, Prof-school
29, Private, Bachelors
17, Private, 11th
40, Private, HS-grad
69, Self-emp-not-inc, Some-college
28, Private, 10th
38, Private, 9th
44, Private, Prof-school
45, Local-gov, Prof-school
33, State-gov, Bachelors
41, Local-gov, Some-college
37, Self-emp-inc, HS-grad
50, Private, Some-college
48, Private, Bachelors
26, ?, HS-grad
36, Private, Some-college
21, Private, Some-college
37, Private, Assoc-acdm
20, State-gov, Some-college
54, Self-emp-not-inc, HS-grad
28, Private, HS-grad
27, Private, Some-college
33, Private, Assoc-voc
46, ?, HS-grad
28, ?, 11th
17, ?, 10th
40, Self-emp-not-inc, Prof-school
47, Private, Masters
44, Private, 1st-4th
25, Private, 12th
35, Private, Bachelors
29, Private, Some-college
30, Private, HS-grad
30, Private, Some-college
56, Self-emp-not-inc, 7th-8th
25, Self-emp-not-inc, Bachelors
28, Private, HS-grad
43, Self-emp-not-inc, 9th
47, Local-gov, HS-grad
46, Self-emp-not-inc, Bachelors
41, State-gov, Masters
38, Federal-gov, Assoc-acdm
29, Private, HS-grad
25, Private, 5th-6th
56, Private, 11th
31, Private, 7th-8th
22, Private, 11th
31, Private, HS-grad
28, Private, Some-college
53, Private, Bachelors
45, Private, Masters
71, Private, Preschool
65, ?, HS-grad
39, Private, HS-grad
19, Federal-gov, HS-grad
34, Local-gov, Bachelors
36, Private, HS-grad
40, Private, HS-grad
90, Private, Some-college
56, Private, Prof-school
21, Private, HS-grad
48, Private, Bachelors
45, Private, Some-college
46, Private, HS-grad
64, Private, 10th
29, Local-gov, Masters
22, Private, HS-grad
47, Private, HS-grad
67, Self-emp-inc, Bachelors
43, Private, HS-grad
42, Private, Some-college
31, Private, Some-college
53, Private, 11th
81, Private, 9th
33, Local-gov, HS-grad
17, Private, 12th
55, Self-emp-inc, Prof-school
28, Private, HS-grad
24, Private, Some-college
40, Private, HS-grad
30, Local-gov, Masters
24, Private, 11th
26, Private, Masters
38, Private, Some-college
30, Private, HS-grad
33, Private, Bachelors
40, Private, HS-grad
63, Self-emp-not-inc, HS-grad
23, Private, 7th-8th
56, Private, HS-grad
42, Self-emp-not-inc, Assoc-voc
40, Private, HS-grad
49, Private, Assoc-acdm
35, Private, HS-grad
52, Private, HS-grad
28, Private, Bachelors
35, Private, 10th
21, ?, Some-college
43, Self-emp-not-inc, HS-grad
32, ?, Assoc-voc
29, Self-emp-not-inc, Prof-school
23, Private, Bachelors
50, Local-gov, Some-college
34, Private, Some-college
19, Private, HS-grad
47, Private, 11th
37, Self-emp-not-inc, Some-college
25, Private, HS-grad
75, Private, Some-college
24, Private, HS-grad
28, State-gov, Bachelors
17, Local-gov, 11th
31, Private, HS-grad
31, Private, Preschool
18, ?, HS-grad
45, Private, Bachelors
31, Private, HS-grad
27, Private, Bachelors
48, Private, Some-college
22, ?, HS-grad
34, Private, Bachelors
26, Private, HS-grad
53, Private, Some-college
60, Private, Bachelors
49, Local-gov, Masters
40, Private, Some-college
48, Self-emp-inc, 10th
23, Private, Bachelors
68, ?, 7th-8th
42, Private, Assoc-voc
37, Self-emp-not-inc, HS-grad
27, Private, HS-grad
38, Private, Some-college
27, Private, HS-grad
75, Private, HS-grad
49, Self-emp-inc, Bachelors
27, Private, Some-college
36, Self-emp-not-inc, Bachelors
36, Private, Bachelors
35, Private, HS-grad
36, Private, HS-grad
53, Private, 11th
27, Private, Some-college
34, Private, HS-grad
61, Private, Some-college
29, Private, HS-grad
40, State-gov, Some-college
37, Private, Masters
22, Private, 9th
43, Self-emp-inc, Some-college
55, Self-emp-not-inc, HS-grad
28, Private, Some-college
23, Private, Bachelors
64, Local-gov, 11th
46, Private, Some-college
29, Private, Some-college
44, Private, Masters
20, Private, Some-college
62, Self-emp-not-inc, Some-college
49, Private, Assoc-voc
29, Private, 10th
35, Self-emp-not-inc, Bachelors
39, Local-gov, 11th
39, Private, Bachelors
37, Private, HS-grad
38, Private, HS-grad
72, ?, HS-grad
31, Private, 7th-8th
55, Private, 7th-8th
38, Private, Some-college
33, Private, Some-college
25, Private, Assoc-acdm
19, ?, Some-college
37, Private, Assoc-voc
49, Private, Some-college
26, Private, HS-grad
35, Private, HS-grad
44, Self-emp-inc, HS-grad
37, Private, Masters
42, Private, Bachelors
64, State-gov, Doctorate
28, Private, HS-grad
35, Self-emp-not-inc, HS-grad
40, State-gov, Bachelors
55, Federal-gov, Bachelors
21, Private, HS-grad
49, Private, Some-college
51, State-gov, Doctorate
57, Private, Prof-school
51, Private, Bachelors
38, Private, 10th
24, Private, HS-grad
45, Self-emp-not-inc, HS-grad
28, Private, HS-grad
42, Self-emp-inc, Prof-school
22, Private, Some-college
28, State-gov, Masters
60, Private, HS-grad
31, Private, HS-grad
47, Private, Some-college
40, ?, HS-grad
30, Private, HS-grad
61, Private, Masters
71, Local-gov, Bachelors
42, Private, HS-grad
44, Local-gov, 12th
46, Self-emp-not-inc, Some-college
50, Local-gov, Prof-school
27, State-gov, Bachelors
40, ?, Assoc-voc
21, Private, Some-college
25, Private, HS-grad
61, Private, 5th-6th
54, Private, Some-college
31, Private, Bachelors
53, Self-emp-not-inc, Some-college
39, Self-emp-inc, Assoc-acdm
57, Self-emp-inc, Prof-school
48, Private, Bachelors
30, Private, Some-college
35, Private, HS-grad
42, Self-emp-not-inc, HS-grad
34, Self-emp-not-inc, HS-grad
59, Private, HS-grad
69, Local-gov, 10th
29, Private, Some-college
40, Private, HS-grad
21, Private, Some-college
40, Private, Assoc-acdm
43, Private, Some-college
36, Private, HS-grad
41, Private, HS-grad
72, ?, HS-grad
20, Private, Some-college
41, Local-gov, Bachelors
34, Private, Some-college
48, Private, 11th
27, Private, HS-grad
35, Private, Some-college
28, ?, HS-grad
27, Private, HS-grad
20, Private, Some-college
18, Private, Some-college
32, Private, Bachelors
38, Private, Masters
23, State-gov, Some-college
28, Private, Bachelors
40, State-gov, Prof-school
35, Private, HS-grad
74, Self-emp-inc, Some-college
28, Private, HS-grad
23, Private, Some-college
20, Self-emp-not-inc, Some-college
44, Private, HS-grad
46, Local-gov, HS-grad
20, ?, Some-college
51, Self-emp-not-inc, Bachelors
40, Private, Some-college
48, Private, Prof-school
60, Self-emp-not-inc, 9th
48, Self-emp-inc, Bachelors
46, Local-gov, Bachelors
48, Self-emp-inc, Bachelors
22, ?, HS-grad
24, Local-gov, Bachelors
45, State-gov, Some-college
18, Private, 12th
39, Private, HS-grad
65, Self-emp-inc, HS-grad
22, Private, Some-college
20, Private, Some-college
28, Private, Some-college
46, Private, Prof-school
42, Local-gov, Bachelors
61, State-gov, Doctorate
28, Private, Some-college
18, Private, Some-college
24, Federal-gov, Bachelors
45, Private, Doctorate
24, Private, HS-grad
44, Private, Bachelors
20, Private, Some-college
35, Private, Some-college
52, Self-emp-inc, Bachelors
25, Private, Assoc-acdm
19, Private, 5th-6th
35, ?, Bachelors
54, Private, Some-college
21, Private, Some-college
26, Private, HS-grad
42, Private, Assoc-voc
19, Private, Some-college
55, Private, Masters
44, State-gov, HS-grad
25, Private, Bachelors
26, Private, Some-college
64, Federal-gov, Assoc-acdm
41, Private, 11th
25, ?, Some-college
43, Private, Some-college
45, Private, HS-grad
48, Federal-gov, Bachelors
60, Private, HS-grad
45, Self-emp-not-inc, Some-college
51, Private, 10th
37, Federal-gov, HS-grad
22, Private, Some-college
44, Private, HS-grad
27, Private, HS-grad
47, Local-gov, HS-grad
32, Private, Masters
40, Private, Bachelors
41, Private, HS-grad
32, ?, 10th
26, Private, Bachelors
47, Private, Some-college
55, Self-emp-inc, HS-grad
38, Private, HS-grad
24, State-gov, Bachelors
64, Self-emp-not-inc, Doctorate
56, Federal-gov, Bachelors
41, Private, HS-grad
33, Private, HS-grad
33, Private, Prof-school
21, Private, Some-college
59, Local-gov, HS-grad
58, Private, Assoc-voc
43, Local-gov, Masters
21, Private, HS-grad
45, Private, HS-grad
53, Local-gov, HS-grad
41, Private, Prof-school
27, Private, 10th
53, Private, Some-college
38, Private, Masters
31, Private, Bachelors
41, Private, HS-grad
22, State-gov, Some-college
43, Self-emp-not-inc, Masters
41, State-gov, Some-college
27, Private, Some-college
41, Local-gov, Some-college
36, Private, Prof-school
49, Private, Bachelors
20, Private, HS-grad
58, Self-emp-not-inc, HS-grad
35, Self-emp-not-inc, 12th
30, Local-gov, HS-grad
21, Private, HS-grad
29, Private, Assoc-acdm
40, Private, HS-grad
54, State-gov, Bachelors
35, Private, Bachelors
35, Private, Bachelors
40, Private, Bachelors
59, Private, HS-grad
43, Self-emp-inc, Some-college
39, Private, 10th
51, Private, 7th-8th
71, Private, Some-college
33, Private, 12th
28, Private, HS-grad
30, Private, HS-grad
20, Private, 5th-6th
51, Self-emp-inc, HS-grad
39, Private, HS-grad
62, Private, Some-college
37, Private, HS-grad
28, Private, 9th
23, Private, HS-grad
39, Private, Bachelors
50, Self-emp-inc, Bachelors
31, Private, 7th-8th
45, Local-gov, Bachelors
23, ?, Bachelors
47, Private, 10th
59, Private, HS-grad
32, Private, Assoc-acdm
82, ?, 7th-8th
49, Private, Bachelors
74, Federal-gov, HS-grad
22, Private, Some-college
32, Private, Some-college
34, Private, Bachelors
59, Private, Bachelors
36, Private, Bachelors
59, Private, 11th
47, Self-emp-inc, Bachelors
53, Local-gov, HS-grad
25, Self-emp-not-inc, Some-college
44, Private, Bachelors
57, Self-emp-not-inc, Prof-school
42, Self-emp-not-inc, Bachelors
58, Local-gov, 10th
39, Private, Bachelors
32, ?, HS-grad
45, Private, 7th-8th
47, Private, Bachelors
52, ?, Some-college
56, Self-emp-not-inc, 1st-4th
52, Private, HS-grad
34, Private, HS-grad
36, Self-emp-not-inc, 7th-8th
41, Private, HS-grad
30, Private, Some-college
44, Private, Bachelors
17, ?, Some-college
34, Private, Some-college
41, Private, Some-college
29, Private, HS-grad
25, Private, 9th
42, Local-gov, Bachelors
48, Private, Some-college
26, Private, Assoc-voc
64, Self-emp-inc, HS-grad
46, Self-emp-inc, Bachelors
38, Private, Bachelors
49, State-gov, 11th
23, Private, Some-college
46, Local-gov, Bachelors
30, Private, HS-grad
49, Self-emp-not-inc, HS-grad
47, ?, Assoc-voc
44, Private, Bachelors
31, Private, HS-grad
19, Private, HS-grad
45, Private, Assoc-acdm
34, Private, Bachelors
26, Private, HS-grad
38, Self-emp-not-inc, HS-grad
31, Private, Some-college
36, Self-emp-inc, Assoc-acdm
31, Private, Bachelors
30, Private, Bachelors
37, Private, HS-grad
30, Private, Bachelors
21, ?, HS-grad
73, Private, 10th
38, Federal-gov, Masters
30, Private, 10th
33, Private, HS-grad
52, Local-gov, Bachelors
58, Private, Some-college
34, Local-gov, Masters
35, Private, HS-grad
59, Federal-gov, HS-grad
45, Private, Bachelors
27, Private, Some-college
31, Local-gov, Doctorate
45, Private, Some-college
40, Private, HS-grad
27, Private, Prof-school
19, Private, HS-grad
29, Private, 5th-6th
34, Self-emp-inc, Some-college
32, State-gov, Assoc-acdm
49, Private, 11th
33, Private, 11th
74, ?, 7th-8th
62, Private, Bachelors
39, Self-emp-not-inc, HS-grad
43, Private, HS-grad
22, Private, Some-college
24, Private, HS-grad
76, ?, HS-grad
25, Private, Some-college
19, Private, Some-college
31, Private, Assoc-acdm
53, Private, 11th
61, Private, HS-grad
47, Private, Bachelors
37, Private, HS-grad
50, Self-emp-not-inc, Bachelors
27, Private, Some-college
58, Private, HS-grad
43, Private, HS-grad
39, Private, Assoc-acdm
36, Private, Some-college
56, Private, Bachelors
26, Private, HS-grad
23, Private, Bachelors
47, Private, 11th
68, Private, 12th
47, Local-gov, Some-college
45, Federal-gov, Some-college
26, Private, Some-college
20, Private, HS-grad
46, Private, Some-college
37, Private, Assoc-acdm
37, Private, Some-college
43, Private, Some-college
59, Private, Masters
39, Private, HS-grad
32, Private, Some-college
63, Private, Some-college
45, Private, Bachelors
59, Private, Bachelors
36, ?, 12th
26, Private, HS-grad
34, Private, HS-grad
41, Private, HS-grad
26, Private, HS-grad
53, Private, HS-grad
33, Private, HS-grad
46, Private, Bachelors
79, ?, HS-grad
31, Private, HS-grad
24, Private, HS-grad
57, Local-gov, HS-grad
40, Private, HS-grad
41, Self-emp-inc, Assoc-voc
20, Private, Some-college
45, Private, 11th
27, Private, Assoc-voc
36, Private, 5th-6th
30, Private, HS-grad
36, Private, Bachelors
25, Private, HS-grad
30, ?, Some-college
31, Private, HS-grad
49, Private, HS-grad
26, Private, 11th
25, Private, Bachelors
29, Private, Assoc-voc
24, Private, Some-college
41, Private, HS-grad
35, Private, Masters
57, Self-emp-inc, Bachelors
21, Private, 11th
29, Private, 10th
36, Private, Some-college
20, Private, Some-college
51, Private, Bachelors
39, Private, 11th
36, Private, Bachelors
40, Self-emp-not-inc, Prof-school
61, Private, HS-grad
38, Private, Prof-school
20, ?, Some-college
21, Private, HS-grad
40, Private, HS-grad
46, Private, 10th
21, Private, Some-college
35, Self-emp-not-inc, 10th
39, Private, Bachelors
38, Self-emp-not-inc, HS-grad
30, Private, HS-grad
28, Private, 9th
32, Private, Bachelors
46, Self-emp-not-inc, Assoc-voc
40, Private, Assoc-voc
47, Private, HS-grad
44, Private, 10th
38, Private, HS-grad
51, ?, HS-grad
46, Self-emp-not-inc, Bachelors
51, Private, Doctorate
45, Private, Doctorate
20, Private, Some-college
44, Private, Bachelors
33, Private, Assoc-voc
18, Private, HS-grad
61, Self-emp-inc, Prof-school
50, State-gov, Bachelors
47, Federal-gov, HS-grad
34, Private, Bachelors
53, Private, HS-grad
39, Self-emp-not-inc, Some-college
58, Private, HS-grad
66, ?, HS-grad
26, Private, 11th
41, Private, 5th-6th
47, Local-gov, Some-college
31, Private, Assoc-voc
52, Private, Some-college
29, Private, Assoc-acdm
43, Private, 9th
42, Federal-gov, Masters
35, Private, Some-college
41, Private, HS-grad
34, Private, Bachelors
52, Self-emp-not-inc, Some-college
61, Private, Some-college
39, Local-gov, HS-grad
19, Private, Some-college
46, State-gov, Bachelors
39, Private, Some-college
22, Private, Some-college
30, State-gov, HS-grad
40, Private, Assoc-voc
43, Private, Bachelors
37, Private, 5th-6th
23, Private, Assoc-acdm
39, Local-gov, Assoc-acdm
54, Private, Masters
46, Self-emp-inc, Some-college
20, Private, Some-college
50, Self-emp-not-inc, Bachelors
17, Private, 10th
36, Private, HS-grad
37, Private, HS-grad
53, Private, HS-grad
50, Private, HS-grad
38, Private, HS-grad
63, Self-emp-not-inc, HS-grad
53, Private, HS-grad
40, ?, Bachelors
23, Self-emp-inc, Some-college
20, Private, HS-grad
46, Private, Some-college
28, Private, 10th
59, Private, Masters
41, Private, Bachelors
33, Private, Preschool
56, Private, 12th
50, Self-emp-not-inc, HS-grad
31, Local-gov, Bachelors
41, Private, Assoc-voc
38, Private, Bachelors
25, State-gov, Assoc-acdm
18, ?, HS-grad
49, Local-gov, Bachelors
39, Private, Some-college
22, ?, Some-college
21, Private, Some-college
35, Private, Bachelors
21, ?, HS-grad
38, Private, HS-grad
55, Private, 7th-8th
31, Private, HS-grad
17, Self-emp-inc, 11th
31, Private, Bachelors
25, Local-gov, Bachelors
39, Private, Masters
50, Private, 7th-8th
38, Local-gov, Bachelors
50, Private, Some-college
63, Private, 10th
31, Private, HS-grad
23, Private, Bachelors
18, Private, Some-college
43, Local-gov, Bachelors
34, Private, Some-college
18, Private, 11th
46, Private, HS-grad
35, Private, Bachelors
46, State-gov, Masters
59, Private, Assoc-voc
31, Private, 7th-8th
27, Private, HS-grad
41, Private, Masters
42, Private, HS-grad
55, Private, Bachelors
34, ?, HS-grad
44, Private, HS-grad
26, Private, Bachelors
36, Private, Assoc-voc
69, Private, 9th
33, Private, Some-college
30, Private, Assoc-voc
35, Private, HS-grad
25, Private, Bachelors
21, Private, Some-college
18, Private, 11th
35, Self-emp-not-inc, Some-college
20, Private, HS-grad
26, Private, Masters
46, Private, Bachelors
31, Private, Bachelors
40, Private, Prof-school
40, Private, HS-grad
31, Private, Bachelors
32, Self-emp-not-inc, Doctorate
23, Self-emp-not-inc, Some-college
25, Local-gov, Masters
37, Private, Some-college
18, Private, Some-college
55, Private, HS-grad
52, Private, 9th
26, Private, HS-grad
37, Private, Some-college
39, Private, HS-grad
62, Self-emp-not-inc, Bachelors
19, ?, Some-college
47, Private, HS-grad
51, Local-gov, Bachelors
55, Private, HS-grad
30, Private, HS-grad
59, Federal-gov, Some-college
45, Self-emp-not-inc, 10th
52, Private, Some-college
21, Private, HS-grad
31, Private, HS-grad
29, Private, Some-college
24, Private, HS-grad
17, Private, 10th
47, Private, HS-grad
46, Private, Some-college
32, ?, HS-grad
34, Private, 10th
63, Private, 12th
21, Private, Some-college
18, Private, HS-grad
49, State-gov, Doctorate
81, Self-emp-not-inc, HS-grad
36, Self-emp-inc, Assoc-acdm
47, Private, HS-grad
36, Private, Masters
39, Self-emp-not-inc, Assoc-voc
46, Private, Bachelors
43, Local-gov, Some-college
39, Local-gov, Bachelors
29, Private, Some-college
23, Private, HS-grad
57, Private, 10th
38, Self-emp-not-inc, HS-grad
25, Private, Bachelors
39, Local-gov, Some-college
24, Private, Some-college
56, Private, Masters
39, Private, 12th
23, Private, Assoc-voc
17, ?, 11th
67, Self-emp-not-inc, HS-grad
41, Private, Bachelors
24, Local-gov, Bachelors
51, Private, Bachelors
30, Self-emp-inc, HS-grad
47, Self-emp-inc, HS-grad
56, Private, HS-grad
51, Private, HS-grad
57, Self-emp-not-inc, Some-college
34, Private, Some-college
24, Private, Bachelors
57, Private, HS-grad
38, Private, HS-grad
23, Private, HS-grad
35, Private, 7th-8th
58, Private, HS-grad
19, ?, HS-grad
19, ?, 7th-8th
68, State-gov, Doctorate
43, Private, Some-college
17, Private, 11th
53, State-gov, Doctorate
37, Self-emp-inc, Doctorate
21, ?, Bachelors
63, Private, HS-grad
31, Private, Some-college
29, Private, HS-grad
43, Local-gov, Some-college
27, Private, Prof-school
25, Self-emp-not-inc, HS-grad
28, Private, HS-grad
54, Private, HS-grad
74, ?, Some-college
31, Local-gov, Some-college
23, Private, Some-college
19, Private, Bachelors
39, ?, Preschool
61, Self-emp-not-inc, HS-grad
59, ?, HS-grad
27, Self-emp-inc, Assoc-voc
19, Private, Some-college
23, ?, HS-grad
25, Local-gov, HS-grad
40, Private, Some-college
53, Private, 11th
32, Private, Bachelors
72, Self-emp-not-inc, Doctorate
61, Private, 7th-8th
42, Private, HS-grad
17, Private, 10th
73, Private, HS-grad
41, Self-emp-not-inc, Some-college
23, Private, Some-college
23, Private, HS-grad
65, Private, Assoc-voc
45, Self-emp-inc, HS-grad
52, Federal-gov, Bachelors
24, Local-gov, Bachelors
23, Private, Assoc-voc
30, Private, Some-college
26, Private, Bachelors
37, Self-emp-not-inc, HS-grad
17, Private, HS-grad
31, Private, HS-grad
52, Private, HS-grad
63, Private, Bachelors
27, Private, HS-grad
31, Private, 9th
71, Self-emp-not-inc, HS-grad
35, Private, Bachelors
44, Private, HS-grad
36, Private, Masters
22, Private, Bachelors
32, Private, HS-grad
30, Local-gov, Bachelors
60, ?, HS-grad
25, Private, Some-college
76, Private, 7th-8th
41, Private, HS-grad
